qid,source_row_index,dataset
Q051,45,aqua_mc
Q052,100,aqua_mc
Q053,187,aqua_mc
Q054,125,aqua_mc
Q055,123,aqua_mc
Q056,170,aqua_mc
Q057,10,aqua_mc
Q058,179,aqua_mc
Q059,201,aqua_mc
Q060,115,aqua_mc
Q061,4,aqua_mc
Q062,52,aqua_mc
Q063,16,aqua_mc
Q064,91,aqua_mc
Q065,213,aqua_mc
Q066,87,aqua_mc
Q067,117,aqua_mc
Q068,22,aqua_mc
Q069,105,aqua_mc
Q070,107,aqua_mc
Q071,204,aqua_mc
Q072,247,aqua_mc
Q073,62,aqua_mc
Q074,30,aqua_mc
Q075,129,aqua_mc
Q076,226,aqua_mc
Q077,74,aqua_mc
Q078,46,aqua_mc
Q079,177,aqua_mc
Q080,217,aqua_mc
Q081,106,aqua_mc
Q082,97,aqua_mc
Q083,68,aqua_mc
Q084,167,aqua_mc
Q085,252,aqua_mc
Q086,203,aqua_mc
Q087,80,aqua_mc
Q088,81,aqua_mc
Q089,13,aqua_mc
Q090,200,aqua_mc
Q091,152,aqua_mc
Q092,28,aqua_mc
Q093,83,aqua_mc
Q094,101,aqua_mc
Q095,238,aqua_mc
Q096,11,aqua_mc
Q097,136,aqua_mc
Q098,126,aqua_mc
Q099,43,aqua_mc
Q100,227,aqua_mc
Q101,1199,math_mc_cot
Q102,1169,math_mc_cot
Q103,627,math_mc_cot
Q104,967,math_mc_cot
Q105,989,math_mc_cot
Q106,1250,math_mc_cot
Q107,920,math_mc_cot
Q108,655,math_mc_cot
Q109,580,math_mc_cot
Q110,871,math_mc_cot
Q111,562,math_mc_cot
Q112,415,math_mc_cot
Q113,497,math_mc_cot
Q114,924,math_mc_cot
Q115,786,math_mc_cot
Q116,810,math_mc_cot
Q117,268,math_mc_cot
Q118,397,math_mc_cot
Q119,1065,math_mc_cot
Q120,464,math_mc_cot
Q121,330,math_mc_cot
Q122,1190,math_mc_cot
Q123,751,math_mc_cot
Q124,975,math_mc_cot
Q125,1035,math_mc_cot
Q126,789,math_mc_cot
Q127,728,math_mc_cot
Q128,290,math_mc_cot
Q129,1059,math_mc_cot
Q130,859,math_mc_cot
Q131,955,math_mc_cot
Q132,1062,math_mc_cot
Q133,558,math_mc_cot
Q134,948,math_mc_cot
Q135,1088,math_mc_cot
Q136,820,math_mc_cot
Q137,1054,math_mc_cot
Q138,324,math_mc_cot
Q139,1188,math_mc_cot
Q140,917,math_mc_cot
Q141,613,math_mc_cot
Q142,1070,math_mc_cot
Q143,716,math_mc_cot
Q144,645,math_mc_cot
Q145,1141,math_mc_cot
Q146,365,math_mc_cot
Q147,521,math_mc_cot
Q148,719,math_mc_cot
Q149,904,math_mc_cot
Q150,895,math_mc_cot
Q151,1294,mmlu_mc_cot
Q152,1456,mmlu_mc_cot
Q153,1776,mmlu_mc_cot
Q154,1905,mmlu_mc_cot
Q155,1893,mmlu_mc_cot
Q156,2184,mmlu_mc_cot
Q157,2169,mmlu_mc_cot
Q158,1779,mmlu_mc_cot
Q159,1848,mmlu_mc_cot
Q160,1627,mmlu_mc_cot
Q161,1563,mmlu_mc_cot
Q162,2196,mmlu_mc_cot
Q163,2040,mmlu_mc_cot
Q164,1468,mmlu_mc_cot
Q165,1837,mmlu_mc_cot
Q166,2060,mmlu_mc_cot
Q167,1403,mmlu_mc_cot
Q168,1759,mmlu_mc_cot
Q169,2149,mmlu_mc_cot
Q170,1475,mmlu_mc_cot
Q171,2235,mmlu_mc_cot
Q172,1790,mmlu_mc_cot
Q173,1917,mmlu_mc_cot
Q174,2141,mmlu_mc_cot
Q175,1352,mmlu_mc_cot
Q176,1589,mmlu_mc_cot
Q177,2162,mmlu_mc_cot
Q178,2118,mmlu_mc_cot
Q179,1579,mmlu_mc_cot
Q180,1656,mmlu_mc_cot
Q181,1369,mmlu_mc_cot
Q182,2212,mmlu_mc_cot
Q183,1922,mmlu_mc_cot
Q184,1761,mmlu_mc_cot
Q185,1522,mmlu_mc_cot
Q186,1478,mmlu_mc_cot
Q187,2016,mmlu_mc_cot
Q188,2620,trivia_qa
Q189,2596,trivia_qa
Q190,2705,trivia_qa
Q191,2363,trivia_qa
Q192,2289,trivia_qa
Q193,2269,trivia_qa
Q194,2730,trivia_qa
Q195,2440,trivia_qa
Q196,2482,trivia_qa
Q197,2505,trivia_qa
Q198,2761,trivia_qa
Q199,2887,trivia_qa
Q200,2292,trivia_qa
Q201,3184,trivia_qa
Q202,3202,trivia_qa
Q203,2765,trivia_qa
Q204,3125,trivia_qa
Q205,2255,trivia_qa
Q206,2973,trivia_qa
Q207,3037,trivia_qa
Q208,2741,trivia_qa
Q209,3035,trivia_qa
Q210,2801,trivia_qa
Q211,3042,trivia_qa
Q212,2349,trivia_qa
Q213,2333,trivia_qa
Q214,2762,trivia_qa
Q215,3130,trivia_qa
Q216,2992,trivia_qa
