sample_id,source_row_index,dataset,format,question,choices,correct_answer,topic_or_level
1,0,aqua_mc,multiple_choice,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?",(A)5(√3 + 1) | (B)6(√3 + √2) | (C)7(√3 – 1) | (D)8(√3 – 2) | (E)None of these,A,
2,63,aqua_mc,multiple_choice,"In IPL season, Sachin current batting average is 51. In the finals, he scores 78 runs, then is batting average will be 54. Find out the total number of matches played by Sachin in this season.",(A)6 | (B)8 | (C)9 | (D)10 | (E)11,C,
3,127,aqua_mc,multiple_choice,"The nefarious bandit Hoopsmot decides to go in with his criminal partner Smolapon to purchase a number of senators. Hoopsmot contributes $16,000 to their bribery pool, and Smolapon contributes just $4,000. Their total allows them to influence 30 senators. How many senators of these can be considered Hoopsmot's?",(A)18 | (B)20 | (C)22 | (D)24 | (E)26,D,
4,190,aqua_mc,multiple_choice,"You can purchase one soda and two energy bars for 150 cents, or two sodas and three energy bars for 300
cents. If the costs of the items do not change, compute the cost in cents of six sodas and seven bars.",(A)500 | (B)600 | (C)750 | (D)800 | (E)900,E,
5,278,math_mc_cot,multiple_choice,What is $\dbinom{n}{n}$ for any positive integer $n$?,(A) 2 | (B) 1,B,Level 1
6,255,math_mc_cot,multiple_choice,"When counting from $3$ to $201$, $53$ is the $51^\mathrm{st}$ number counted. When counting backwards from $201$ to $3$, $53$ is the $n^\mathrm{th}$ number counted. What is $n$?",(A) 150 | (B) 149,B,Level 2
7,256,math_mc_cot,multiple_choice,"Find the value of $n$ that satisfies $2(n+1)!+6n!=3(n+1)!$, where $n! = n\cdot (n-1)\cdot (n-2) \cdots 2\cdot 1$.",(A) 5 | (B) 4,A,Level 3
8,254,math_mc_cot,multiple_choice,We roll a fair 6-sided die 5 times.  What is the probability that we get a 6 in at most 2 of the rolls?,(A) \frac{625}{647} | (B) \frac{625}{648},B,Level 5
9,1256,mmlu_mc_cot,multiple_choice,Planetary rings are,(A) known to exist for all of the jovian planets. | (B) composed of a large number of individual particles that orbit their planet in accord with Kepler's third law. | (C) nearer to their planet than any of the planet's large moons. | (D) all of the above,D,astronomy_test
10,1265,mmlu_mc_cot,multiple_choice,"A developer was the owner of a 300-acre tract of land that was located in a rural county. Over the course of time, she developed the property into a residential subdivision. A four-lane public highway ran along the northern boundary of the residential subdivision. When the residential subdivision was first plotted, the developer constructed a private road along (and including) the western boundary of the subdivision. This private road was used only for the benefit of the owners who purchased lots in the subdivision. A homeowner owned a 20-acre tract immediately outside of the residential subdivision, which was situated just below the public highway and immediately adjacent to the west side of the private road. The homeowner's property was divided into two 10-acre parcels: Parcel 1 was the northern half and bordered along the public highway; Parcel 2 was the southern sector and abutted a river. In 1997, the homeowner conveyed Parcel 1 to a man by warranty deed. No encumbrances were mentioned in the deed. Six months later, the homeowner conveyed Parcel 2 by warranty deed to a woman. Both the man and the woman promptly recorded their deeds with the County Recorder's Office. Assume that no part of Parcel 2 adjoins a public road. Consequently, the woman constructed an access road connecting her property to the private road. After the woman used the private road for approximately two months, a teacher who was an owner within the residential subdivision, ordered the woman to discontinue using the private road. In an appropriate action by the teacher against the woman to enjoin the use of the private road, the woman will","(A) win, because there is an easement by estoppel over the private road. | (B) win, because there is an implied easement appurtenant over the private road. | (C) lose, unless the private road is the only access road by which woman can gain ingress and egress to her property. | (D) lose, because she has no legal right to travel over the private road.",D,professional_law_test
